135 15 3
30 60 700 9.00
0 3 2 2
0 2 7 3
0 3 2 2
0 9 6 3
0 1 1 1
0 6 8 1
0 16 14 2
0 11 9 2
0 24 13 2
0 3 3 2
0 16 4 1
0 20 7 1
0 5 11 1
0 6 13 2
0 16 9 2
0 1 8 3
0 5 13 3
0 13 10 3
0 4 5 2
0 21 13 1
0 9 7 3
0 5 1 2
0 2 12 3
0 1 5 1
0 21 6 2
0 4 3 3
0 21 6 2
0 13 4 2
0 14 14 1
0 4 2 3
0 11 13 3
0 21 8 1
0 3 4 2
0 5 13 2
0 11 1 1
0 13 10 2
0 9 10 3
0 12 14 3
0 12 12 3
0 25 15 2
0 3 15 2
0 15 8 1
0 3 7 1
0 8 1 2
0 1 5 2
0 1 12 2
0 10 13 3
0 4 15 2
0 4 11 2
0 8 7 3
0 12 11 3
0 6 7 1
0 1 4 1
0 12 5 2
0 13 2 2
0 18 15 1
0 8 1 2
0 4 12 2
0 9 13 1
0 3 7 3
0 6 2 1
0 15 3 1
0 9 6 3
0 5 13 1
0 1 11 3
0 4 6 3
0 6 3 2
0 19 2 3
0 15 9 3
0 3 2 1
0 12 10 1
0 15 6 1
0 6 9 1
0 1 8 2
0 8 10 2
0 1 12 1
0 4 5 3
0 4 12 3
0 7 3 2
0 5 15 2
0 4 4 2
1 11 6 1
1 17 7 2
1 2 6 1
1 9 12 3
1 2 13 3
1 22 15 3
1 24 5 2
1 6 10 1
1 15 9 3
1 19 6 2
1 4 9 1
1 3 6 3
1 3 13 3
1 3 3 1
1 1 3 2
1 17 11 1
1 7 11 3
1 10 1 3
1 4 10 2
1 22 8 3
1 13 4 3
1 4 5 1
1 8 4 3
1 5 3 3
1 8 1 1
1 9 11 1
1 12 14 2
1 18 3 3
1 11 11 2
1 14 15 3
1 16 12 1
1 9 9 3
1 3 14 2
1 5 3 2
1 3 8 1
1 3 14 3
1 9 10 1
1 1 11 2
1 3 13 2
1 2 12 3
1 9 9 3
1 5 5 1
1 13 13 2
1 5 10 2
1 3 10 3
1 6 15 3
1 16 11 2
1 1 6 2
1 4 15 2
1 6 10 3
1 11 2 1
1 15 4 3
1 17 14 3
1 6 5 1
0 15661 13369 15299 11554 2200 2635 14011 14610 2745 7209 5488 6186 17180 7532 9522
15661 0 2302 17716 17478 13920 14236 12393 15034 13140 17269 10586 13210 15861 8557 6439
13369 2302 0 16650 15943 11661 12010 11550 14091 10875 15310 8293 11223 15267 6397 4318
15299 17716 16650 0 4234 13547 12797 5443 2787 13638 8908 16069 9418 3941 12680 13492
11554 17478 15943 4234 0 10063 9239 6895 5245 10322 4742 13339 6306 7582 10697 12083
2200 13920 11661 13547 10063 0 869 11886 12638 806 6218 4531 4199 15169 5534 7606
2635 14236 12010 12797 9239 869 0 11384 11995 1481 5350 5270 3556 14555 5728 7843
14011 12393 11550 5443 6895 11886 11384 0 2673 11652 9820 12912 7902 3924 8935 9064
14610 15034 14091 2787 5245 12638 11995 2673 0 12568 9194 14462 8447 2623 10742 11245
2745 13140 10875 13638 10322 806 1481 11652 12568 0 6732 3791 4221 15056 4820 6863
7209 17269 15310 8908 4742 6218 5350 9820 9194 6732 0 10348 4090 11778 9090 11021
5488 10586 8293 16069 13339 4531 5270 12912 14462 3791 10348 0 7041 16695 4120 5283
6186 13210 11223 9418 6306 4199 3556 7902 8447 4221 4090 7041 0 10999 5033 6931
17180 15861 15267 3941 7582 15169 14555 3924 2623 15056 11778 16695 10999 0 12801 12987
7532 8557 6397 12680 10697 5534 5728 8935 10742 4820 9090 4120 5033 12801 0 2124
9522 6439 4318 13492 12083 7606 7843 9064 11245 6863 11021 5283 6931 12987 2124 0
1 6 9 0
2 5 11 3
3 9 4 1
4 7 2 0
5 2 7 4
6 3 3 0
7 5 3 5
8 0 6 2
9 8 8 1
10 4 3 2
11 8 3 2
12 4 7 1
13 6 3 2
14 5 0 1
15 5 8 1
