250 50 3
30 60 700 9.00
0 1 36 1
0 6 27 3
0 19 19 3
0 20 35 3
0 6 40 3
0 12 23 1
0 7 35 2
0 1 14 1
0 4 28 3
0 3 15 2
0 6 1 2
0 11 42 3
0 11 5 3
0 2 7 1
0 18 5 3
0 16 33 3
0 4 47 1
0 1 47 3
0 1 14 3
0 8 5 3
0 8 47 2
0 20 1 1
0 2 15 3
0 20 20 3
0 19 11 1
0 3 38 1
0 2 14 1
0 2 48 3
0 9 8 3
0 7 12 3
0 12 29 2
0 3 34 3
0 21 3 1
0 1 8 3
0 2 41 1
0 11 1 1
0 12 50 2
0 5 45 2
0 15 27 3
0 1 1 1
0 2 40 3
0 2 19 3
0 1 17 2
0 14 35 2
0 10 50 3
0 4 27 1
0 4 27 3
0 16 45 2
0 13 33 2
0 3 50 2
0 9 28 3
0 16 19 3
0 1 9 3
0 8 46 3
0 1 24 2
0 2 5 2
0 9 34 1
0 12 28 1
0 4 8 3
0 3 47 2
0 5 38 2
0 3 31 3
0 2 4 1
0 17 35 3
0 7 16 2
0 6 2 3
0 13 8 2
0 3 48 3
0 22 34 3
0 6 10 3
0 3 6 2
0 10 9 2
0 4 5 2
0 17 27 2
0 2 31 1
0 6 23 3
0 3 49 3
0 3 8 3
0 6 35 2
0 1 30 1
0 3 24 1
0 12 5 3
0 8 20 2
0 6 46 1
0 6 34 2
0 9 38 1
0 11 40 2
0 11 27 1
0 5 3 2
0 4 46 1
0 8 18 1
0 22 23 1
0 4 29 3
0 7 46 2
0 24 22 1
0 20 34 1
0 2 18 3
0 23 37 1
0 2 6 2
0 4 9 3
0 9 31 3
0 3 50 2
0 5 3 3
0 6 34 3
0 15 31 2
0 2 32 1
0 15 30 2
0 3 15 2
0 2 50 3
0 8 37 1
0 5 43 1
0 1 8 3
0 20 13 3
0 7 47 3
0 6 33 1
0 7 7 2
0 1 28 1
0 11 22 2
0 7 18 2
0 23 38 3
0 25 6 3
0 10 1 3
0 4 35 3
0 2 46 2
0 3 34 1
0 4 50 2
0 6 48 3
0 15 28 1
0 10 43 2
0 1 16 1
0 8 34 1
0 5 20 3
0 10 38 3
0 9 34 1
0 5 31 3
0 15 44 3
0 23 43 2
0 8 35 2
0 14 25 2
