143 21 2
30 60 700 9.00
2 18 10  1
0 7  13  1
1 5  2   1
1 2  17  1
1 18 16  1
0 3  15  1
0 6  6   1
1 1  7   1
2 5  15  1
0 2  13  1
0 4  8   1
2 3  19  1
1 1  2   1
2 15 4   1
1 1  21  1
0 1  11  1
2 17 13  1
1 4  13  1
1 9  17  1
1 6  21  1
1 18 10  1
1 4  7   1
2 23 6   1
0 1  9   1
0 18 11  1
1 12 10  1
1 21 6   1
0 1  19  1
1 15 4   1
1 2  9   1
0 17 16  1
2 8  21  1
1 10 6   1
0 6  8   1
2 2  20  1
0 4  12  1
0 9  18  1
1 20 11  1
0 3  3   1
2 4  18  1
0 2  8   1
1 4  13  1
1 7  1   1
1 3  19  1
1 2  13  1
2 1  15  1
2 16 10  1
1 20 16  1
1 4  7   1
1 11 21  1
0 16 11  1
2 12 18  1
1 12 3   1
1 15 10  1
1 19 8   1
1 4  14  1
1 7  19  1
1 9  13  1
2 22 18  1
0 20 21  1
1 14 5   1
1 19 14  1
0 21 14  1
0 11 3   1
0 3  9   1
1 18 1   1
1 9  19  1
1 7  17  1
1 7  7   1
0 11 17  1
2 4  20  1
2 24 17  1
0 18 1   1
0 7  14  1
1 23 12  1
0 15 5   1
1 15 5   1
2 24 7   1
1 6  7   1
1 20 14  1
2 17 13  1
1 8  11  1
1 3  9   1
1 2  21  1
1 20 14  1
0 24 13  1
1 16 21  1
2 18 14  1
0 7  17  1
0 12 9   1
1 17 10  1
1 18 4   1
0 5  13  1
0 6  16  1
1 3  18  1
0 2  6   1
1 13 9   1
0 9  13  1
1 13 12  1
2 3  13  1
0 3  13  1
0 10 14  1
2 1  21  1
2 4  1   1
1 2  3   1
1 16 19  1
0 1  13  1
0 8  17  0
0 6  18  0
1 1  21  0
1 5  13  0
2 6  1   0
2 2  19  0
1 11 21  0
1 13 10  0
2 7  3   0
1 24 15  0
2 19 17  0
0 10 18  0
1 9  19  0
2 5  20  0
1 14 18  0
2 16 1   0
0 5  5   0
0 9  9   0
0 2  16  0
2 18 11  0
2 16 18  0
2 23 11  0
1 6  13  0
1 19 12  0
1 7  15  0
1 2  8   0
0 8  13  0
1 5  6   0
0 25 18  0
1 10 15  0
2 11 2   0
2 12 3   0
0 19 2   0
0 1  14  0
0 4  7   0
2 6  3   0
    0 49262 48396 47673 48148 47072 46603 47013 49340 45580 48405 48050 47600 46271 51358 47553 49281 49496 47084 46545 45885 49004 
49862     0  1828  2068  4013  3105  3099  5188   433  3909  1825  1932  2638  3798  2987  4211   686   234  4493  4435  4104   352 
48443  2458     0   650  2594  1686  1680  3769  2526  2490  1060  1246  1219  2379  3813  2792  2467  2692  3075  2852  2685  2200 
48411  3037  1897     0  2014  1977  1844  3189  3105  2645  1643  1825   639  2533  4397  2212  3046  3271  2494  2436  2552  2779 
48680  4047  3058  2448     0  2305  2172  2286  4115  2973  2804  2835  1800  2861  5557   595  4056  4281  1355  1966  2822  3789 
47619  3026  2159  1436  2305     0   856  3262  3104  1667  2169  1814  1667   806  5153  2504  3044  3260  2567  2028  1861  2768 
47008  3779  2790  2180  2170  1709     0  2406  3848  1056  2536  2568  1532   944  5290  2181  3788  4013  1711  1172  1251  3521 
47394  5286  4297  3687  2179  3468  2293     0  5355  2322  4043  4075  3039  2810  6797  1584  5295  5521  1385  1407  2262  5029 
49872   433  1465  2079  4023  3115  3109  5198     0  3920  1463  2365  2649  3808  2624  4222   323   503  4504  4281  4114   785 
46070  3836  2970  2247  2972  1646  1336  2416  3915     0  2979  2625  2334   846  5963  2529  3855  4071  2060  1521   861  3579 
48959  2007   552  1166  3110  2202  2196  4285  1644  3007     0  1762  1736  2895  3693  3309  1585  2077  3591  3368  3201  1848 
49178  1417  2097  1385  3329  2421  2415  4504  1850  3226  2106     0  1954  3114  4404  3528  2103  1652  3810  3751  3420  1160 
48214  2839  1851  1240  1566  1780  1646  2741  2908  2448  1597  1628     0  2336  4350  1764  2849  3074  2046  1987  2355  2582 
46993  3627  2761  2038  2763  1014  1127  2826  3705  1041  2770  2416  2125     0  5754  2601  3646  3861  2132  1592  1236  3369 
51912  3271  3495  4109  5515  5145  5140  6690  2908  5950  3241  4705  3969  5838     0  5713  2849  3341  5995  5937  6053  3623 
48086  4245  3256  2646   595  2504  2257  1691  4314  2587  3002  3033  1998  2774  5756     0  4254  4479   760  1371  2227  3987 
49813   686  1406  2019  3964  3055  3050  5139   323  3860  1403  2618  2589  3748  2565  4162     0   756  4444  4222  4055  1038 
50096   234  1898  2303  4247  3339  3333  5422   503  4143  1895  2166  2872  4032  3057  4445   756     0  4728  4669  4338   586 
47598  4445  3456  2846  1337  2703  1770  1492  4513  2100  3202  3233  2198  2287  5955   742  4454  4679     0   884  1740  4187 
46815  4425  3436  2826  2288  2355  1180  1919  4493  1317  3182  3213  2178  1697  5935  1693  4434  4659  1224     0   965  4167 
46607  3963  2974  2364  2263  1892   718  1894  4031  1108  2720  2751  1715  1234  5473  1669  3972  4197  1199   660     0  3705 
49604   352  1669  1811  3755  2847  2841  4930   785  3652  1666  1674  2380  3540  3339  3953  1038   586  4236  4177  3846     0 
1 30 27 15
2 29 26 15
3 31 26 14
4 29 29 18
5 29 27 15
6 28 24 14
7 28 26 16
8 31 26 17
9 29 22 17
10 30 24 17
11 27 27 16
12 31 28 16
13 28 24 17
14 29 25 18
15 31 24 18
16 29 26 16
17 29 26 16
18 26 25 15
19 29 27 17
20 26 26 14
21 29 21 15
