837 81 13
30 60 700 9.00
0 5  41  1
1 1  67  1
1 4  42  1
2 10 8   1
0 14 80  1
1 1  23  1
2 10 50  1
1 9  41  1
0 14 3   1
0 4  77  1
0 1  43  1
0 20 22  1
2 17 63  1
1 5  37  1
2 3  18  1
2 15 16  1
1 12 34  1
2 10 25  1
1 3  49  1
1 1  77  1
1 2  13  1
1 2  71  1
2 10 49  1
0 10 27  1
2 8  49  1
1 6  69  1
2 3  20  1
1 8  12  1
2 18 17  1
1 12 14  1
2 4  29  1
1 16 9   1
1 20 54  1
1 9  19  1
1 1  43  1
1 7  9   1
0 18 66  1
1 24 40  1
1 9  59  1
1 7  46  1
1 1  35  1
2 7  48  1
1 1  30  1
1 4  62  1
0 2  60  1
1 4  48  1
1 3  77  1
2 1  37  1
1 9  78  1
2 3  76  1
1 2  46  1
1 3  79  1
2 4  74  1
2 7  23  1
2 12 46  1
1 15 21  1
1 7  51  1
0 2  30  1
2 6  20  1
2 4  11  1
2 3  8   1
0 4  12  1
0 24 65  1
0 19 63  1
0 13 28  1
0 21 53  1
2 17 54  1
0 24 8   1
2 15 73  1
0 11 68  1
0 23 80  1
0 7  23  1
2 4  36  1
0 21 62  1
2 5  37  1
0 3  65  1
0 6  3   1
1 12 12  1
2 25 56  1
1 13 23  1
0 19 26  1
2 8  66  1
2 1  18  1
0 10 77  1
2 12 67  1
2 8  15  1
2 5  32  1
2 3  77  1
0 8  77  1
0 2  79  1
0 3  45  1
1 10 25  1
1 3  66  1
1 16 11  1
1 16 25  1
1 3  2   1
0 6  67  1
1 13 60  1
1 20 8   1
2 5  57  1
0 7  41  1
2 22 4   1
0 7  10  1
2 6  62  1
0 12 73  1
1 16 77  1
0 2  56  1
1 5  47  1
0 10 27  1
1 11 27  1
0 5  54  1
2 10 9   1
2 3  45  1
0 12 1   1
2 9  38  1
1 10 8   1
0 25 23  1
1 12 13  1
2 1  33  1
0 24 69  1
2 3  37  1
2 4  1   1
2 15 43  1
1 4  65  1
2 10 70  1
1 12 63  1
0 5  4   1
1 2  59  1
1 2  60  1
0 1  23  1
0 1  64  1
0 6  17  1
0 16 73  1
2 1  16  1
2 6  80  1
1 10 4   1
0 2  74  1
1 12 42  1
1 4  56  1
1 16 49  1
0 7  30  1
1 9  14  1
2 3  60  1
2 14 37  1
2 15 3   1
2 3  12  1
2 6  3   1
2 11 47  1
2 10 64  1
0 4  33  1
2 2  38  1
1 6  10  1
1 11 23  1
0 17 13  1
1 10 78  1
2 2  9   1
0 23 2   1
0 11 30  1
1 5  77  1
1 7  23  1
1 1  15  1
0 7  78  1
1 1  71  1
2 6  61  1
1 5  58  1
0 12 78  1
1 23 10  1
0 11 78  1
2 6  73  1
0 18 29  1
1 18 68  1
0 4  53  1
0 4  54  1
2 12 57  1
1 13 40  1
0 1  2   1
1 20 59  1
1 19 25  1
1 18 80  1
0 23 55  1
2 5  11  1
1 4  69  1
1 25 4   1
0 5  66  1
1 5  27  1
0 5  80  1
1 4  33  1
2 8  43  1
1 19 34  1
2 2  11  1
1 1  20  1
2 12 2   1
0 16 51  1
2 1  64  1
2 8  62  1
0 2  34  1
0 3  16  1
2 6  16  1
1 3  45  1
1 4  17  1
2 13 33  1
1 2  34  1
0 6  36  1
1 20 32  1
2 10 6   1
0 9  19  1
1 4  31  1
2 7  58  1
0 4  56  1
0 10 13  1
1 6  79  1
1 23 13  1
1 14 62  1
0 5  67  1
1 11 13  1
1 1  52  1
0 6  61  1
0 6  14  1
0 5  36  1
0 19 45  1
1 16 28  1
0 2  18  1
1 4  27  1
0 10 20  1
0 5  64  1
1 1  28  1
1 3  16  1
1 12 3   1
2 2  51  1
0 6  38  1
2 11 38  1
0 4  6   1
2 8  10  1
0 2  62  1
2 10 47  1
0 7  31  1
2 2  2   1
0 4  24  1
2 14 56  1
1 16 33  1
2 6  75  1
0 2  46  1
0 12 78  1
2 6  63  1
1 22 69  1
2 19 24  1
1 2  20  1
0 8  79  1
0 1  41  1
1 16 52  1
2 7  55  1
2 1  51  1
0 4  80  1
1 10 62  1
2 5  32  1
1 17 60  1
1 22 34  1
2 11 50  1
1 9  34  1
0 3  70  1
0 6  38  1
1 5  31  1
1 20 67  1
1 11 28  1
2 2  78  1
0 3  48  1
0 19 3   1
0 9  13  1
0 5  60  1
0 16 65  1
2 9  61  1
0 9  81  1
0 6  65  1
2 1  16  1
1 2  52  1
1 15 16  1
1 17 42  1
0 18 73  1
0 1  60  1
2 13 16  1
2 21 60  1
0 5  30  1
2 3  76  1
0 7  16  1
2 5  45  1
1 1  16  1
0 2  14  1
