279 29 4
30 60 700 9.00
1 1  16  1
0 9  17  1
0 11 29  1
1 8  6   1
2 9  4   1
2 21 14  1
1 17 23  1
2 12 14  1
0 3  18  1
2 4  14  1
0 14 21  1
1 8  17  1
2 10 27  1
2 6  4   1
2 25 15  1
1 4  2   1
2 20 26  1
0 4  10  1
2 14 11  1
0 14 11  1
2 24 10  1
0 8  25  1
0 3  8   1
1 4  24  1
1 24 2   1
2 3  21  1
0 7  12  1
1 1  13  1
0 21 17  1
1 11 2   1
1 5  4   1
1 13 3   1
1 4  24  1
0 20 14  1
0 18 23  1
2 1  17  1
0 24 11  1
0 23 14  1
1 4  17  1
2 19 6   1
2 7  6   1
0 8  1   1
0 9  21  1
1 1  12  1
1 8  18  1
0 7  26  1
2 14 3   1
2 1  4   1
1 7  26  1
2 2  9   1
1 5  6   1
1 18 15  1
2 8  23  1
2 1  1   1
0 5  10  1
2 4  15  1
2 16 18  1
0 1  22  1
2 1  5   1
0 1  4   1
2 9  25  1
2 14 14  1
0 5  14  1
2 1  27  1
2 21 13  1
1 2  6   1
0 6  24  1
1 14 11  1
1 13 28  1
2 4  3   1
2 2  8   1
0 14 6   1
0 7  17  1
1 5  21  1
0 6  18  1
0 1  20  1
1 3  11  1
2 18 26  1
1 1  10  1
0 17 7   1
1 14 7   1
1 8  20  1
1 9  18  1
2 13 1   1
2 7  18  1
0 12 23  1
1 5  10  1
0 7  26  1
1 2  7   1
1 3  20  1
1 8  9   1
2 14 2   1
0 1  5   1
0 5  24  1
2 6  21  1
0 9  21  1
2 17 20  1
2 4  15  1
2 14 2   1
0 23 9   1
2 9  24  1
1 4  22  1
2 14 29  1
1 1  13  1
2 11 17  1
2 5  29  1
0 8  23  1
2 10 27  1
0 4  8   1
0 21 18  1
2 1  7   1
1 6  14  1
0 3  4   1
0 12 14  1
1 17 2   1
2 8  11  1
0 6  3   1
1 7  15  1
0 4  25  1
1 4  23  1
2 5  14  1
1 18 4   1
1 21 26  1
0 4  13  1
1 3  11  1
2 18 17  1
